insurance,owner_type,transmission_type,resale_price_Lakh
Zero Dep,First Owner,Manual,3.83
Comprehensive,First Owner,Manual,4.25
Third Party,Second Owner,Manual,3.09
Comprehensive,Second Owner,Automatic,155.0
Comprehensive,Second Owner,Manual,2.32
Third Party,First Owner,Manual,12.25
Third Party,Second Owner,Manual,4.65
Third Party,Second Owner,Manual,4.76
Third Party,First Owner,Manual,7.71
Third Party,First Owner,Automatic,3.11
Third Party,First Owner,Manual,11.11
Comprehensive,First Owner,Manual,5.45
Zero Dep,First Owner,Manual,7.54
Third Party,First Owner,Manual,2.0
Third Party,Second Owner,Manual,2.5
Third Party,First Owner,Manual,5.8
Zero Dep,First Owner,Manual,14.95
Third Party,First Owner,Manual,10.84
Third Party,Third Owner,Manual,2.0
Zero Dep,First Owner,Manual,7.56
Third Party,First Owner,Automatic,7.5
Comprehensive,First Owner,Automatic,13.9
Third Party,First Owner,Manual,3.85
Comprehensive,First Owner,Manual,3.71
Third Party,Third Owner,Automatic,5.0
Third Party,First Owner,Manual,3.4
Third Party,First Owner,Manual,5.75
Comprehensive,First Owner,Automatic,14.45
Third Party,First Owner,Automatic,13.45
Third Party,First Owner,Manual,6.5
Comprehensive,First Owner,Automatic,6.5
Third Party,Second Owner,Manual,2.0
Comprehensive,First Owner,Manual,8.96
Third Party,First Owner,Manual,5.07
Third Party,Second Owner,Manual,3.5
Third Party,Second Owner,Manual,6.0
Zero Dep,First Owner,Manual,5.58
Third Party,Second Owner,Manual,1.25
Comprehensive,Second Owner,Automatic,5.56
Third Party,First Owner,Automatic,35.75
Comprehensive,Second Owner,Manual,5.78
Comprehensive,Second Owner,Manual,11.46
Third Party,Second Owner,Manual,3.8
Comprehensive,First Owner,Manual,6.26
Third Party,First Owner,Manual,8.5
Comprehensive,First Owner,Manual,9.5
Not Available,First Owner,Manual,5.25
Third Party,Second Owner,Manual,2.5
Comprehensive,First Owner,Manual,4.25
Third Party,First Owner,Manual,3.36
Third Party,First Owner,Automatic,30.0
Comprehensive,First Owner,Manual,3.1
Third Party,Second Owner,Manual,10.5
Not Available,Second Owner,Manual,3.3
Comprehensive,First Owner,Manual,2.53
Comprehensive,First Owner,Manual,6.51
Third Party,First Owner,Manual,8.51
Third Party,First Owner,Manual,5.65
Third Party,First Owner,Automatic,6.5
Comprehensive,First Owner,Automatic,12.46
Comprehensive,First Owner,Manual,8.98
Third Party,First Owner,Manual,3.75
Third Party,First Owner,Manual,21.8
Comprehensive,First Owner,Manual,6.45
Third Party,Second Owner,Manual,4.86
Comprehensive,First Owner,Automatic,11.9
Third Party,First Owner,Manual,9.29
Third Party,Second Owner,Manual,4.07
Comprehensive,Second Owner,Manual,7.27
Comprehensive,First Owner,Automatic,7.99
Comprehensive,First Owner,Automatic,8.88
Comprehensive,Second Owner,Automatic,3.99
Third Party,Third Owner,Manual,2.9
Comprehensive,First Owner,Automatic,56.0
Comprehensive,Third Owner,Manual,3.14
Comprehensive,First Owner,Manual,7.95
Third Party,First Owner,Manual,7.5
Comprehensive,First Owner,Automatic,4.37
Comprehensive,Second Owner,Manual,3.25
Third Party,First Owner,Automatic,16.0
Third Party,Second Owner,Manual,6.63
Third Party,First Owner,Automatic,7.0
Third Party,Second Owner,Automatic,4.98
Third Party,First Owner,Manual,9.8
Comprehensive,First Owner,Automatic,6.55
Comprehensive,First Owner,Automatic,3.87
Third Party,First Owner,Manual,3.95
Comprehensive,First Owner,Manual,5.63
Comprehensive,First Owner,Automatic,3.95
Comprehensive,First Owner,Manual,7.07
Third Party,Third Owner,Manual,2.25
Third Party,First Owner,Manual,7.0
Comprehensive,First Owner,Automatic,5.5
Third Party,Second Owner,Manual,5.5
Comprehensive,First Owner,Manual,3.85
Third Party,First Owner,Manual,10.6
Third Party,First Owner,Manual,8.0
Comprehensive,Second Owner,Manual,6.24
Third Party,Fourth Owner,Manual,1.5
Third Party,Second Owner,Manual,2.82
Third Party,Second Owner,Manual,1.9
Comprehensive,First Owner,Manual,14.11
Third Party,First Owner,Automatic,26.0
Third Party,First Owner,Automatic,25.0
Comprehensive,First Owner,Manual,3.25
Comprehensive,First Owner,Manual,4.31
Third Party,Second Owner,Manual,5.29
Third Party,First Owner,Automatic,9.3
Third Party,First Owner,Automatic,2.85
Comprehensive,First Owner,Manual,6.6
Comprehensive,First Owner,Manual,4.54
Third Party,First Owner,Manual,3.35
Comprehensive,Second Owner,Automatic,6.5
Third Party,First Owner,Manual,1.5
Third Party,First Owner,Manual,2.0
Comprehensive,First Owner,Manual,6.66
Third Party,First Owner,Manual,1.15
Comprehensive,First Owner,Manual,4.32
Comprehensive,First Owner,Automatic,25.21
Comprehensive,First Owner,Automatic,53.9
Comprehensive,First Owner,Manual,40.5
Third Party,First Owner,Manual,5.24
Third Party,First Owner,Manual,0.8
Third Party,First Owner,Manual,3.0
Comprehensive,First Owner,Manual,6.25
Third Party,First Owner,Manual,7.18
Third Party,First Owner,Manual,3.95
Third Party,Second Owner,Manual,2.78
Comprehensive,Second Owner,Manual,7.98
Not Available,First Owner,Manual,9.0
Zero Dep,First Owner,Manual,4.93
Third Party,First Owner,Manual,17.56
Third Party,First Owner,Automatic,3.0
Comprehensive,First Owner,Automatic,19.9
Comprehensive,Second Owner,Manual,4.25
Comprehensive,Second Owner,Manual,4.28
Comprehensive,First Owner,Automatic,40.0
Third Party,First Owner,Manual,10.5
Third Party,First Owner,Manual,10.41
Comprehensive,Second Owner,Manual,4.11
Comprehensive,Third Owner,Automatic,39.0
Third Party,First Owner,Manual,2.83
Comprehensive,Second Owner,Automatic,4.81
Third Party,Second Owner,Manual,3.5
Third Party,First Owner,Manual,3.1
Third Party,First Owner,Manual,1.2
Third Party,Third Owner,Manual,4.0
Third Party,First Owner,Manual,8.5
Third Party,Second Owner,Manual,6.2
Zero Dep,Second Owner,Automatic,7.78
Third Party,Second Owner,Automatic,45.0
Comprehensive,First Owner,Manual,2.21
Comprehensive,First Owner,Manual,4.15
Third Party,First Owner,Manual,5.45
Zero Dep,First Owner,Automatic,4.8
Comprehensive,First Owner,Manual,3.5
Comprehensive,Second Owner,Automatic,9.1
Third Party,Fourth Owner,Manual,3.0
Third Party,First Owner,Manual,6.29
Third Party,First Owner,Manual,4.55
Comprehensive,First Owner,Manual,2.11
Third Party,Second Owner,Automatic,2.95
Comprehensive,Third Owner,Automatic,3.96
Third Party,First Owner,Automatic,37.0
Third Party,Second Owner,Manual,2.0
Third Party,Second Owner,Manual,3.37
Third Party,First Owner,Manual,3.95
Third Party,First Owner,Manual,4.07
Third Party,Second Owner,Manual,7.0
Comprehensive,First Owner,Manual,3.1
Third Party,First Owner,Manual,2.47
Third Party,Second Owner,Automatic,32.0
Third Party,First Owner,Manual,5.5
Third Party,First Owner,Manual,6.5
Comprehensive,Second Owner,Automatic,50.0
Third Party,First Owner,Manual,29.0
No Insurance,First Owner,Manual,10.85
Comprehensive,First Owner,Manual,2.99
Third Party,First Owner,Manual,0.99999
Third Party,Second Owner,Manual,10.0
Zero Dep,First Owner,Automatic,6.65
Third Party,Second Owner,Manual,7.0
Third Party,First Owner,Manual,4.86
Comprehensive,Second Owner,Manual,4.29
Zero Dep,First Owner,Manual,4.43
Comprehensive,First Owner,Manual,8.7
Comprehensive,First Owner,Manual,2.6
Comprehensive,First Owner,Manual,5.5
Comprehensive,First Owner,Manual,5.15
Third Party,First Owner,Manual,4.17
Comprehensive,First Owner,Manual,5.5
Third Party,First Owner,Manual,6.75
Comprehensive,First Owner,Manual,4.3
Third Party,First Owner,Automatic,14.5
Comprehensive,Second Owner,Automatic,6.33
Third Party,First Owner,Manual,16.5
Not Available,First Owner,Manual,7.5
Third Party,First Owner,Manual,4.12
Third Party,Second Owner,Manual,8.9
Third Party,Second Owner,Manual,3.15
Comprehensive,Second Owner,Manual,3.13
Third Party,First Owner,Manual,4.14
Third Party,First Owner,Automatic,9.58
Third Party,First Owner,Manual,5.4
Third Party,First Owner,Manual,7.93
Comprehensive,Second Owner,Automatic,2.0
Third Party,Second Owner,Manual,5.65
Comprehensive,First Owner,Manual,2.19
Zero Dep,First Owner,Automatic,10.34
Third Party,First Owner,Manual,21.0
Third Party,First Owner,Automatic,14.75
Third Party,First Owner,Manual,6.5
Comprehensive,Second Owner,Manual,4.13
Third Party,Fourth Owner,Manual,0.4
Third Party,First Owner,Automatic,7.5
Comprehensive,First Owner,Manual,8.0
Third Party,First Owner,Automatic,16.2
Not Available,First Owner,Manual,1.31
Third Party,First Owner,Manual,4.5
Third Party,Second Owner,Manual,2.75
Not Available,First Owner,Manual,8.5
Third Party,Second Owner,Manual,3.0
Third Party,Second Owner,Manual,1.2
Third Party,Second Owner,Automatic,6.74
Third Party,First Owner,Automatic,9.5
Third Party,First Owner,Manual,2.65
Not Available,First Owner,Manual,1.5
Third Party,First Owner,Manual,8.9
Comprehensive,First Owner,Manual,3.54
Third Party,Second Owner,Manual,3.0
Zero Dep,First Owner,Manual,3.05
Third Party,First Owner,Manual,7.7
Comprehensive,First Owner,Manual,11.35
Zero Dep,First Owner,Automatic,37.0
Third Party,Second Owner,Automatic,8.5
Third Party,Third Owner,Manual,1.1
Third Party,Second Owner,Manual,5.45
Third Party,First Owner,Manual,4.03
Third Party,First Owner,Manual,10.0
Third Party,First Owner,Manual,6.4
Comprehensive,First Owner,Manual,11.9
Comprehensive,First Owner,Manual,3.9
Comprehensive,First Owner,Manual,7.3
Third Party,First Owner,Manual,3.49
Third Party,First Owner,Manual,2.06
Comprehensive,First Owner,Manual,1.99
Comprehensive,First Owner,Manual,4.51
Not Available,First Owner,Automatic,10.0
Third Party,First Owner,Manual,4.85
Third Party,First Owner,Automatic,48.0
Third Party,Third Owner,Manual,1.3
Third Party,First Owner,Manual,1.83
Third Party,Second Owner,Manual,1.45
Third Party,First Owner,Manual,3.75
Third Party,Second Owner,Manual,5.04
Third Party,Second Owner,Manual,8.29
Third Party,Second Owner,Manual,8.25
Comprehensive,Second Owner,Automatic,14.95
Third Party,Second Owner,Manual,4.21
Third Party,First Owner,Manual,4.45
Comprehensive,First Owner,Automatic,32.65
Third Party,First Owner,Manual,3.8
Comprehensive,First Owner,Manual,3.2
Comprehensive,Second Owner,Automatic,7.51
Third Party,Third Owner,Manual,1.47
Third Party,First Owner,Manual,1.75
Zero Dep,First Owner,Manual,10.75
Third Party,Second Owner,Manual,6.49
Third Party,Second Owner,Manual,4.82
Third Party,First Owner,Manual,4.1
Comprehensive,First Owner,Manual,11.5
Comprehensive,First Owner,Manual,4.96
Comprehensive,Second Owner,Automatic,2.0
Comprehensive,First Owner,Automatic,4.0
Third Party,First Owner,Manual,8.8
Comprehensive,First Owner,Manual,2.34
Third Party,Second Owner,Manual,5.85
Comprehensive,First Owner,Manual,13.45
Third Party,First Owner,Manual,7.35
Comprehensive,First Owner,Automatic,7.75
Third Party,First Owner,Manual,6.0
Comprehensive,Second Owner,Manual,4.13
Third Party,First Owner,Manual,13.5
Third Party,First Owner,Automatic,7.5
Third Party,First Owner,Manual,6.5
Third Party,Third Owner,Manual,3.63
Third Party,First Owner,Manual,10.1
Third Party,First Owner,Automatic,39.0
Third Party,First Owner,Manual,10.85
Third Party,Third Owner,Manual,3.9
Third Party,Second Owner,Manual,0.5
Comprehensive,First Owner,Manual,9.51
Third Party,First Owner,Manual,3.8
Third Party,First Owner,Automatic,4.0
Third Party,First Owner,Manual,6.25
Third Party,First Owner,Manual,2.0
Third Party,First Owner,Manual,5.5
Third Party,Second Owner,Manual,5.31
Third Party,First Owner,Manual,3.5
Comprehensive,Third Owner,Automatic,3.68
Comprehensive,First Owner,Manual,5.9
Comprehensive,First Owner,Manual,3.9
Comprehensive,First Owner,Manual,7.9
Third Party,First Owner,Automatic,34.0
Comprehensive,First Owner,Manual,5.45
Third Party,First Owner,Manual,3.75
Third Party,Second Owner,Manual,2.96
Not Available,First Owner,Manual,7.46
Third Party,First Owner,Automatic,36.0
Third Party,First Owner,Automatic,14.0
Third Party,Third Owner,Automatic,3.03
Comprehensive,First Owner,Automatic,19.9
Not Available,First Owner,Manual,3.5
Comprehensive,Second Owner,Manual,1.75
Zero Dep,First Owner,Automatic,6.92
Comprehensive,Second Owner,Manual,2.2
Third Party,First Owner,Manual,2.1
Not Available,Second Owner,Manual,2.3
Comprehensive,First Owner,Manual,1.59
Third Party,First Owner,Manual,15.95
Zero Dep,First Owner,Automatic,17.25
Comprehensive,First Owner,Manual,3.75
Comprehensive,First Owner,Automatic,37.5
Third Party,First Owner,Manual,6.75
Third Party,First Owner,Manual,4.7
Comprehensive,First Owner,Manual,9.68
Comprehensive,First Owner,Manual,6.2
Third Party,Third Owner,Manual,3.49
Third Party,First Owner,Automatic,4.78
Comprehensive,First Owner,Manual,4.05
Comprehensive,Second Owner,Manual,2.95
Third Party,First Owner,Manual,5.0
Third Party,First Owner,Manual,3.07
Third Party,First Owner,Automatic,13.25
Third Party,First Owner,Manual,4.5
Third Party,Second Owner,Automatic,4.31
Third Party,First Owner,Manual,2.96
Third Party,Third Owner,Manual,2.5
Third Party,Second Owner,Manual,2.4
Third Party,First Owner,Manual,3.65
Third Party,First Owner,Automatic,5.5
Third Party,First Owner,Manual,5.1
Comprehensive,First Owner,Manual,4.95
Comprehensive,Second Owner,Manual,5.55
Comprehensive,First Owner,Manual,4.47
Third Party,Second Owner,Automatic,3.97
Comprehensive,First Owner,Automatic,5.21
Third Party,First Owner,Manual,7.0
Third Party,First Owner,Manual,1.15
Comprehensive,First Owner,Manual,5.8
Third Party,Second Owner,Automatic,13.95
Third Party,First Owner,Manual,7.64
Third Party,First Owner,Manual,5.61
Third Party,First Owner,Manual,4.11
Comprehensive,Second Owner,Manual,3.65
Comprehensive,First Owner,Automatic,14.75
Third Party,First Owner,Manual,12.0
Third Party,First Owner,Automatic,25.0
Comprehensive,First Owner,Manual,8.34
Comprehensive,First Owner,Manual,3.3
Third Party,First Owner,Manual,4.42
Zero Dep,Second Owner,Manual,5.62
Comprehensive,First Owner,Manual,5.62
Comprehensive,First Owner,Automatic,4.98
Third Party,First Owner,Manual,6.52
Third Party,First Owner,Manual,5.0
Not Available,Second Owner,Manual,8.5
Comprehensive,First Owner,Manual,4.35
Third Party,First Owner,Automatic,13.0
Third Party,Second Owner,Manual,3.5
Third Party,First Owner,Manual,13.11
Comprehensive,First Owner,Manual,2.61
Comprehensive,First Owner,Automatic,13.5
Zero Dep,First Owner,Manual,6.62
Third Party,Third Owner,Manual,0.75
Comprehensive,Second Owner,Automatic,6.55
Comprehensive,Second Owner,Manual,7.97
Third Party,First Owner,Automatic,7.47
Third Party,First Owner,Manual,7.8
Comprehensive,First Owner,Automatic,13.65
Third Party,First Owner,Manual,4.41
Comprehensive,First Owner,Manual,19.5
Comprehensive,First Owner,Manual,3.85
Third Party,Third Owner,Manual,5.21
Comprehensive,First Owner,Automatic,3.86
Comprehensive,First Owner,Manual,5.25
Third Party,First Owner,Manual,5.87
Third Party,First Owner,Manual,5.54
Third Party,Second Owner,Automatic,8.5
Third Party,First Owner,Automatic,13.99
Comprehensive,First Owner,Manual,8.69
Third Party,First Owner,Automatic,42.0
Third Party,Second Owner,Automatic,6.31
Third Party,First Owner,Manual,6.5
Third Party,Second Owner,Manual,3.99
Comprehensive,First Owner,Manual,4.81
Third Party,First Owner,Manual,3.24
Zero Dep,First Owner,Manual,5.05
Third Party,First Owner,Manual,5.81
Comprehensive,Second Owner,Manual,3.82
Third Party,First Owner,Automatic,20.0
Zero Dep,First Owner,Manual,6.9
Third Party,First Owner,Manual,5.3
Comprehensive,First Owner,Manual,3.55
Comprehensive,First Owner,Manual,4.65
Comprehensive,First Owner,Automatic,38.45
Zero Dep,First Owner,Manual,17.56
Third Party,Third Owner,Manual,0.75
Comprehensive,First Owner,Manual,5.92
Comprehensive,First Owner,Manual,3.75
Third Party,Second Owner,Manual,2.0
Third Party,First Owner,Manual,13.0
Comprehensive,Second Owner,Automatic,5.84
Comprehensive,First Owner,Automatic,4.25
Not Available,First Owner,Manual,1.15
Third Party,Second Owner,Manual,5.5
Third Party,Fourth Owner,Manual,1.2
Third Party,Third Owner,Manual,1.4
Comprehensive,First Owner,Manual,3.5
Third Party,First Owner,Manual,6.0
Third Party,First Owner,Manual,2.0
Third Party,First Owner,Automatic,17.0
Third Party,First Owner,Automatic,3.54
Third Party,First Owner,Manual,10.0
Third Party,Third Owner,Manual,3.6
Comprehensive,Second Owner,Automatic,16.9
Comprehensive,First Owner,Manual,1.55
Third Party,Second Owner,Manual,3.85
Comprehensive,First Owner,Manual,7.2
Comprehensive,First Owner,Manual,3.55
Third Party,First Owner,Automatic,6.9
Third Party,First Owner,Automatic,5.05
Third Party,First Owner,Manual,2.8
Third Party,First Owner,Manual,14.85
Third Party,First Owner,Manual,4.51
Third Party,First Owner,Automatic,13.58
Third Party,First Owner,Automatic,5.38
Comprehensive,First Owner,Manual,2.76
Comprehensive,First Owner,Manual,7.99
Third Party,First Owner,Manual,7.89
Comprehensive,First Owner,Manual,7.5
Third Party,First Owner,Manual,3.55
Zero Dep,First Owner,Automatic,5.9
Third Party,Second Owner,Manual,3.5
Comprehensive,Second Owner,Manual,3.99
Third Party,Second Owner,Manual,6.27
Third Party,Second Owner,Manual,3.73
Comprehensive,First Owner,Manual,2.89
Comprehensive,First Owner,Manual,6.02
Third Party,First Owner,Manual,1.7
Comprehensive,First Owner,Manual,5.32
Third Party,First Owner,Manual,5.45
Third Party,Second Owner,Manual,3.99
Comprehensive,First Owner,Manual,9.75
Third Party,Third Owner,Manual,3.4
Zero Dep,First Owner,Manual,7.28
Third Party,Second Owner,Manual,7.19
Third Party,First Owner,Manual,12.21
Third Party,First Owner,Manual,1.62
Third Party,First Owner,Manual,8.21
Comprehensive,First Owner,Manual,10.45
Third Party,First Owner,Manual,6.75
Comprehensive,First Owner,Automatic,7.6
Third Party,First Owner,Manual,2.8
Third Party,Third Owner,Automatic,3.0
Third Party,Second Owner,Manual,23.0
Comprehensive,First Owner,Manual,6.3
Third Party,First Owner,Manual,10.1
Third Party,First Owner,Manual,1.55
Third Party,First Owner,Automatic,5.15
Not Available,First Owner,Manual,7.5
Third Party,First Owner,Manual,6.5
Third Party,First Owner,Manual,3.0
Comprehensive,Second Owner,Manual,4.85
Third Party,Second Owner,Manual,0.85
Comprehensive,Second Owner,Automatic,11.0
Third Party,Second Owner,Manual,3.5
Comprehensive,Second Owner,Manual,3.33
Not Available,First Owner,Automatic,8.37
Third Party,First Owner,Manual,4.18
Third Party,First Owner,Manual,3.0
Third Party,First Owner,Manual,9.5
Comprehensive,First Owner,Automatic,6.33
Third Party,Third Owner,Automatic,7.8
Third Party,Second Owner,Manual,2.2
Third Party,Second Owner,Manual,2.68
Third Party,First Owner,Manual,1.28
Third Party,First Owner,Manual,5.4
Third Party,First Owner,Manual,3.0
Comprehensive,Second Owner,Manual,5.9
Third Party,First Owner,Manual,5.59
Comprehensive,First Owner,Manual,2.08
Third Party,Second Owner,Automatic,8.3
Third Party,First Owner,Manual,19.75
Comprehensive,First Owner,Manual,7.99
Third Party,First Owner,Automatic,7.78
Third Party,First Owner,Automatic,7.02
Third Party,First Owner,Manual,2.0
Third Party,First Owner,Manual,4.91
Third Party,Second Owner,Manual,2.5
Third Party,First Owner,Automatic,6.73
Third Party,Second Owner,Manual,5.0
Third Party,Second Owner,Manual,5.0
Third Party,Second Owner,Manual,1.6
Third Party,Second Owner,Manual,2.5
Comprehensive,First Owner,Manual,3.94
Third Party,First Owner,Manual,5.9
Third Party,First Owner,Automatic,7.0
Third Party,First Owner,Manual,6.6
Comprehensive,First Owner,Manual,4.33
Comprehensive,First Owner,Automatic,16.9
Third Party,First Owner,Manual,6.65
Not Available,First Owner,Manual,5.0
Comprehensive,First Owner,Manual,4.95
Third Party,First Owner,Automatic,8.65
Comprehensive,First Owner,Manual,8.25
Third Party,First Owner,Manual,4.39
Third Party,Second Owner,Automatic,20.95
Third Party,First Owner,Automatic,11.75
Zero Dep,First Owner,Manual,5.87
Comprehensive,First Owner,Automatic,12.23
Third Party,First Owner,Manual,3.5
Third Party,Second Owner,Manual,6.0
Third Party,First Owner,Manual,4.05
Third Party,First Owner,Manual,5.42
Comprehensive,First Owner,Manual,3.25
Third Party,First Owner,Manual,3.5
Comprehensive,First Owner,Manual,3.45
Comprehensive,Second Owner,Automatic,36.0
Not Available,First Owner,Manual,4.0
Comprehensive,First Owner,Automatic,48.5
Third Party,Second Owner,Manual,7.9
Third Party,First Owner,Manual,6.16
Third Party,First Owner,Manual,8.5
Not Available,First Owner,Manual,2.0
Third Party,First Owner,Automatic,9.26
Third Party,Second Owner,Manual,9.0
Third Party,Second Owner,Manual,0.95
Third Party,First Owner,Manual,2.1
Comprehensive,First Owner,Manual,2.35
Comprehensive,First Owner,Manual,3.2
Third Party,Second Owner,Manual,4.5
Third Party,First Owner,Automatic,5.36
Comprehensive,First Owner,Automatic,5.66
Third Party,First Owner,Manual,6.0
Comprehensive,First Owner,Manual,4.3
Third Party,Second Owner,Manual,5.8
Third Party,First Owner,Manual,3.54
Third Party,First Owner,Automatic,22.5
Third Party,Third Owner,Automatic,3.25
Comprehensive,First Owner,Manual,3.38
Third Party,Third Owner,Automatic,6.25
Comprehensive,First Owner,Automatic,55.9
Comprehensive,First Owner,Manual,3.04
Third Party,First Owner,Automatic,6.86
Third Party,First Owner,Manual,1.56
Comprehensive,First Owner,Automatic,3.3
Comprehensive,First Owner,Manual,5.1
Third Party,First Owner,Manual,7.29
Third Party,First Owner,Manual,5.07
Third Party,First Owner,Manual,6.34
Third Party,First Owner,Manual,0.64
Third Party,First Owner,Manual,2.25
Comprehensive,First Owner,Manual,4.2
Comprehensive,First Owner,Manual,3.89
Comprehensive,First Owner,Manual,3.45
Comprehensive,Second Owner,Automatic,12.75
Third Party,Second Owner,Automatic,17.5
Third Party,First Owner,Manual,5.4
Comprehensive,First Owner,Manual,5.0
Third Party,First Owner,Manual,6.5
Comprehensive,First Owner,Manual,6.95
Third Party,First Owner,Manual,6.35
Comprehensive,Second Owner,Manual,6.14
Comprehensive,Second Owner,Manual,3.4
Third Party,First Owner,Manual,2.8
Third Party,First Owner,Automatic,5.5
Comprehensive,First Owner,Automatic,15.0
Third Party,First Owner,Manual,9.77
Comprehensive,First Owner,Automatic,20.5
Third Party,First Owner,Manual,4.0
Comprehensive,First Owner,Automatic,5.76
Comprehensive,Second Owner,Manual,5.75
Comprehensive,Second Owner,Manual,4.96
Comprehensive,First Owner,Automatic,16.99
Third Party,Second Owner,Manual,5.39
Comprehensive,Second Owner,Manual,3.25
Third Party,Second Owner,Manual,4.97
Third Party,First Owner,Automatic,37.99
Comprehensive,First Owner,Automatic,16.4
Third Party,First Owner,Manual,5.89
Third Party,First Owner,Manual,1.8
Comprehensive,First Owner,Manual,2.45
Third Party,First Owner,Automatic,12.5
Comprehensive,Second Owner,Automatic,13.49
Comprehensive,First Owner,Automatic,6.65
Comprehensive,Second Owner,Automatic,5.84
Third Party,Fourth Owner,Manual,1.2
Third Party,Third Owner,Manual,5.5
Third Party,Second Owner,Manual,1.6
Third Party,Second Owner,Manual,3.0
Comprehensive,Third Owner,Manual,5.7
Comprehensive,Second Owner,Automatic,5.67
Third Party,Second Owner,Automatic,10.75
Third Party,Second Owner,Automatic,4.6
Third Party,First Owner,Automatic,4.21
Comprehensive,First Owner,Manual,15.85
Third Party,Second Owner,Automatic,3.29
Comprehensive,First Owner,Manual,2.1
Third Party,First Owner,Automatic,14.0
Third Party,First Owner,Manual,2.97
Third Party,First Owner,Manual,0.9
Comprehensive,First Owner,Manual,5.9
Zero Dep,First Owner,Automatic,14.7
Third Party,First Owner,Manual,6.55
Comprehensive,First Owner,Manual,1.98
Third Party,First Owner,Automatic,7.45
Comprehensive,First Owner,Manual,3.88
Zero Dep,First Owner,Manual,6.85
Third Party,First Owner,Manual,9.5
Third Party,First Owner,Manual,4.74
Third Party,First Owner,Automatic,23.5
Comprehensive,First Owner,Automatic,20.5
Comprehensive,First Owner,Automatic,5.81
Third Party,First Owner,Manual,5.72
Comprehensive,First Owner,Automatic,7.0
Comprehensive,First Owner,Automatic,13.95
Third Party,First Owner,Manual,9.0
Not Available,Second Owner,Manual,4.86
Third Party,First Owner,Manual,8.0
Third Party,Second Owner,Manual,7.0
Zero Dep,First Owner,Automatic,11.15
Third Party,First Owner,Manual,4.75
Third Party,Second Owner,Manual,4.25
Third Party,First Owner,Manual,5.45
Zero Dep,First Owner,Manual,6.17
Third Party,Second Owner,Manual,2.89
Third Party,First Owner,Manual,3.26
Comprehensive,First Owner,Automatic,3.77
Zero Dep,Second Owner,Manual,6.99
Third Party,Second Owner,Manual,0.7
Third Party,Second Owner,Manual,3.2
Third Party,Second Owner,Manual,3.84
Third Party,Third Owner,Manual,5.35
Comprehensive,First Owner,Manual,2.95
Third Party,First Owner,Manual,6.5
Third Party,First Owner,Automatic,16.0
Third Party,First Owner,Manual,2.15
Third Party,First Owner,Manual,5.7
Comprehensive,Second Owner,Automatic,4.5
Comprehensive,First Owner,Automatic,7.25
Comprehensive,First Owner,Manual,8.5
Not Available,First Owner,Manual,0.64
Third Party,First Owner,Automatic,5.13
Third Party,First Owner,Manual,1.3
Comprehensive,Second Owner,Manual,8.58
Third Party,Second Owner,Manual,2.5
Third Party,Second Owner,Manual,1.85
Third Party,Third Owner,Manual,3.0
Third Party,First Owner,Manual,5.35
Not Available,First Owner,Manual,0.9609
Third Party,Second Owner,Manual,4.5
Third Party,First Owner,Manual,4.49
Third Party,First Owner,Manual,10.9
Zero Dep,First Owner,Manual,4.0
Comprehensive,First Owner,Automatic,5.95
Third Party,First Owner,Automatic,9.95
Comprehensive,Second Owner,Manual,3.15
Third Party,First Owner,Manual,14.5
Third Party,Second Owner,Manual,6.01
Comprehensive,First Owner,Manual,11.5
Comprehensive,First Owner,Manual,6.51
Third Party,First Owner,Manual,4.67
Third Party,Second Owner,Manual,2.5
Comprehensive,First Owner,Automatic,9.5
Third Party,Second Owner,Automatic,4.56
Comprehensive,First Owner,Automatic,55.0
Comprehensive,First Owner,Automatic,50.0
Third Party,Third Owner,Manual,6.39
Third Party,First Owner,Manual,4.0
Comprehensive,Third Owner,Manual,3.67
Third Party,Second Owner,Manual,1.4
Third Party,First Owner,Manual,4.9
Zero Dep,First Owner,Manual,8.11
Comprehensive,First Owner,Manual,4.99
Third Party,First Owner,Manual,9.0
Comprehensive,First Owner,Manual,8.5
Comprehensive,First Owner,Automatic,3.95
Third Party,Second Owner,Manual,6.5
Third Party,Second Owner,Manual,2.76
Comprehensive,First Owner,Manual,5.3
Third Party,First Owner,Manual,6.0
Third Party,First Owner,Automatic,6.9
Zero Dep,First Owner,Manual,4.76
Comprehensive,First Owner,Manual,6.15
Third Party,First Owner,Manual,16.5
Comprehensive,Second Owner,Manual,5.75
Comprehensive,First Owner,Manual,9.85
Third Party,First Owner,Manual,3.05
Comprehensive,Second Owner,Manual,3.48
Not Available,First Owner,Manual,13.2
Comprehensive,First Owner,Manual,4.95
Third Party,First Owner,Manual,24.0
Third Party,First Owner,Automatic,6.85
Comprehensive,First Owner,Automatic,52.75
Not Available,First Owner,Manual,2.31
Third Party,Second Owner,Manual,7.11
Third Party,Second Owner,Manual,3.65
Third Party,First Owner,Manual,5.8
Third Party,First Owner,Automatic,19.45
Comprehensive,Fourth Owner,Automatic,5.75
Third Party,First Owner,Automatic,16.0
Third Party,First Owner,Manual,7.71
Third Party,First Owner,Manual,4.95
Comprehensive,First Owner,Automatic,34.0
Third Party,First Owner,Manual,5.76
Comprehensive,Third Owner,Automatic,5.2
Third Party,First Owner,Automatic,15.0
Third Party,First Owner,Automatic,4.25
Third Party,First Owner,Manual,8.33
Third Party,Second Owner,Manual,4.5
Third Party,Second Owner,Automatic,3.95
